"Counter","ICD-10 code","WHO update 1=Add 2=Del","ICD-10 code descriptor","ICD-10-AM Map","Aust update 1=Add 2=Del","Additive Map (+)","ICD-10-AM code descriptor"
584,"Y82.0",,"Other and unspecified medical devices associated with misadventures, diagnostic and monitoring devices","Y82.0",,,"Other and unspecified medical devices associated with unintentional events, diagnostic and monitoring devices"
585,"Y82.1",,"Other and unspecified medical devices associated with misadventures, therapeutic (nonsurgical) and rehabilitative devices","Y82.1",,,"Other and unspecified medical devices associated with unintentional events, therapeutic (nonsurgical) and rehabilitative devices"
586,"Y82.2",,"Other and unspecified medical devices associated with misadventures, prosthetic and other implants, materials and accessory devices","Y82.2",,,"Other and unspecified medical devices associated with unintentional events, prosthetic and other implants, materials and accessory devices"
587,"Y82.3",,"Other and unspecified medical devices associated with misadventures, surgical instruments, materials and devices (including sutures)","Y82.3",,,"Other and unspecified medical devices associated with unintentional events, surgical instruments, materials and devices (including sutures)"
588,"Y82.8",,"Other and unspecified medical devices associated with misadventures, miscellaneous devices, not elsewhere classified","Y82.8",,,"Other and unspecified medical devices associated with unintentional events, miscellaneous devices, not elsewhere classified"
589,"Y83.0",,"Surgical operation with transplant of whole organ","Y83.09","1",,"Other organ or tissue transplant as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
590,"Y83.0",,"Surgical operation with transplant of whole organ","Y83.01","1",,"Bone marrow transplant as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
591,"Y83.0",,"Surgical operation with transplant of whole organ","Y83.02","1",,"Kidney transplant as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
592,"Y83.0",,"Surgical operation with transplant of whole organ","Y83.03","1",,"Heart transplant as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
593,"Y83.0",,"Surgical operation with transplant of whole organ","Y83.04","1",,"Lung transplant as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
594,"Y83.0",,"Surgical operation with transplant of whole organ","Y83.05","1",,"Heart-lung transplant as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
595,"Y83.0",,"Surgical operation with transplant of whole organ","Y83.06","1",,"Liver transplant as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
596,"Y83.0",,"Surgical operation with transplant of whole organ","Y83.07","1",,"Pancreas and pancreatic islet cell transplant as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
597,"Y83.0",,"Surgical operation with transplant of whole organ","Y83.08","1",,"Stem cell transplant as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
598,"Y83.1",,"Surgical operation with implant of artificial internal device","Y83.1",,,"Surgical operation with implant of artificial internal device"
599,"Y83.2",,"Surgical operation with anastomosis, bypass or graft","Y83.2",,,"Surgical operation with anastomosis, bypass or graft"
600,"Y83.3",,"Surgical operation with formation of external stoma","Y83.39","1",,"Formation of external stoma, not elsewhere classified  as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
601,"Y83.3",,"Surgical operation with formation of external stoma","Y83.31","1",,"Tracheostomy as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
602,"Y83.3",,"Surgical operation with formation of external stoma","Y83.32","1",,"Gastrostomy as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
603,"Y83.3",,"Surgical operation with formation of external stoma","Y83.33","1",,"Enterostomy as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
604,"Y83.3",,"Surgical operation with formation of external stoma","Y83.34","1",,"Colostomy as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
605,"Y83.3",,"Surgical operation with formation of external stoma","Y83.35","1",,"Nephrostomy as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
606,"Y83.3",,"Surgical operation with formation of external stoma","Y83.36","1",,"Cystostomy as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
607,"Y83.3",,"Surgical operation with formation of external stoma","Y83.37","1",,"Ureterostomy as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
608,"Y83.4",,"Other reconstructive surgery","Y83.4",,,"Other reconstructive surgery"
609,"Y83.5",,"Amputation of limb(s)","Y83.5",,,"Amputation of limb(s)"
610,"Y83.6",,"Removal of other organ (partial) (total)","Y83.6",,,"Removal of other organ (partial) (total)"
611,"Y83.8",,"Other surgical procedures","Y83.8",,,"Other surgical procedures"
612,"Y83.9",,"Surgical procedure, unspecified","Y83.9",,,"Surgical procedure, unspecified"
613,"Y84.0",,"Cardiac catheterisation as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure","Y84.0",,,"Cardiac catheterisation as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
614,"Y84.1",,"Kidney dialysis as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure","Y84.1",,,"Kidney dialysis as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
615,"Y84.2",,"Radiological procedure and radiotherapy as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure","Y84.2",,,"Radiological procedure and radiotherapy as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
616,"Y84.3",,"Shock therapy as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure","Y84.3",,,"Shock therapy as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
617,"Y84.4",,"Aspiration of fluid as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure","Y84.4",,,"Aspiration of fluid as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
618,"Y84.5",,"Insertion of gastric or duodenal sound as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure","Y84.5",,,"Insertion of gastric or duodenal sound as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
619,"Y84.6",,"Urinary catheterisation as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure","Y84.6",,,"Urinary catheterisation as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
620,"Y84.7",,"Blood-sampling as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure","Y84.7",,,"Blood-sampling as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
621,"Y84.8",,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure","Y84.8",,,"Other medical procedures as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
622,"Y84.9",,"Medical procedure, unspecified as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure","Y84.9",,,"Medical procedure, unspecified as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
623,"Y85.0",,"Sequelae of motor-vehicle accident","Y85.0",,,"Sequelae of motor-vehicle accident"
624,"Y85.9",,"Sequelae of other and unspecified transport accidents","Y85.9",,,"Sequelae of other and unspecified transport accidents"
625,"Y86",,"Sequelae of other accidents","Y86",,,"Sequelae of other accidents"
626,"Y87.0",,"Sequelae of intentional self-harm","Y87.0",,,"Sequelae of intentional self-harm"
627,"Y87.1",,"Sequelae of assault","Y87.1",,,"Sequelae of assault"
628,"Y87.2",,"Sequelae of events of undetermined intent","Y87.2",,,"Sequelae of events of undetermined intent"
629,"Y88.0",,"Sequelae of adverse effects caused by drugs, medicaments and biological substances in therapeutic use","Y88.0",,,"Sequelae of adverse effects caused by drugs, medicaments and biological substances in therapeutic use"
630,"Y88.1",,"Sequelae of misadventures to patients during surgical and medical procedures","Y88.1",,,"Sequelae of unintentional events during surgical and medical procedures"
631,"Y88.2",,"Sequelae of adverse incidents associated with medical devices in diagnostic and therapeutic use","Y88.2",,,"Sequelae of adverse incidents associated with medical devices in diagnostic and therapeutic use"
632,"Y88.3",,"Sequelae of surgical and medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure","Y88.3",,,"Sequelae of surgical and medical procedures as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure"
633,"Y89.0",,"Sequelae of legal intervention","Y89.0",,,"Sequelae of legal intervention"
634,"Y89.1",,"Sequelae of war operations","Y89.1",,,"Sequelae of war operations"
635,"Y89.9",,"Sequelae of unspecified external cause","Y89.9",,,"Sequelae of unspecified external cause"
636,"Y90.0",,"Blood alcohol level of less than 20 mg/100 ml","Y90.0",,,"Blood alcohol level of less than 20 mg/100 ml"
637,"Y90.1",,"Blood alcohol level of 20-39 mg/100 ml","Y90.1",,,"Blood alcohol level of 20-39 mg/100 ml"
638,"Y90.2",,"Blood alcohol level of 40-59 mg/100 ml","Y90.2",,,"Blood alcohol level of 40-59 mg/100 ml"
639,"Y90.3",,"Blood alcohol level of 60-79 mg/100 ml","Y90.3",,,"Blood alcohol level of 60-79 mg/100 ml"
640,"Y90.4",,"Blood alcohol level of 80-99 mg/100 ml","Y90.4",,,"Blood alcohol level of 80-99 mg/100 ml"
641,"Y90.5",,"Blood alcohol level of 100-119 mg/100 ml","Y90.5",,,"Blood alcohol level of 100-119 mg/100 ml"
642,"Y90.6",,"Blood alcohol level of 120-199 mg/100 ml","Y90.6",,,"Blood alcohol level of 120-199 mg/100 ml"
643,"Y90.7",,"Blood alcohol level of 200-239 mg/100 ml","Y90.7",,,"Blood alcohol level of 200-239 mg/100 ml"
644,"Y90.8",,"Blood alcohol level of 240 mg/100 ml or more","Y90.8",,,"Blood alcohol level of 240 mg/100 ml or more"
645,"Y90.9",,"Presence of alcohol in blood, level not specified","Y90.9",,,"Presence of alcohol in blood, level not specified"
646,"Y91.0",,"Mild alcohol intoxication","Y91.0",,,"Mild alcohol intoxication"
647,"Y91.1",,"Moderate alcohol intoxication","Y91.1",,,"Moderate alcohol intoxication"
648,"Y91.2",,"Severe alcohol intoxication","Y91.2",,,"Severe alcohol intoxication"
649,"Y91.3",,"Very severe alcohol intoxication","Y91.3",,,"Very severe alcohol intoxication"
650,"Y91.9",,"Alcohol involvement, not otherwise specified","Y91.9",,,"Alcohol involvement, not otherwise specified"
651,"Y95",,"Nosocomial condition","Y95",,,"Nosocomial condition"
652,"Y96",,"Work-related condition","Y96",,,"Work-related condition"
653,"Y97",,"Environmental-pollution-related condition","Y97",,,"Environmental-pollution-related condition"
654,"Y98",,"Lifestyle-related condition","Y98",,,"Lifestyle-related condition"
655,"Z00.0",,"General medical examination","Z00.0",,,"General medical examination"
656,"Z00.1",,"Routine child health examination","Z00.1",,,"Routine child health examination"
657,"Z00.2",,"Examination for period of rapid growth in childhood","Z00.2",,,"Examination for period of rapid growth in childhood"
658,"Z00.3",,"Examination for adolescent development state","Z00.3",,,"Examination for adolescent development state"
659,"Z00.4",,"General psychiatric examination, not elsewhere classified","Z00.4",,,"General psychiatric examination, not elsewhere classified"
660,"Z00.5",,"Examination of potential donor of organ and tissue","Z00.5",,,"Examination of potential donor of organ and tissue"
661,"Z00.6",,"Examination for normal comparison and control in clinical research programme","Z00.6",,,"Examination for normal comparison and control in clinical research programme"
662,"Z00.8",,"Other general examinations","Z00.8",,,"Other general examinations"
663,"Z01.0",,"Examination of eyes and vision","Z01.0",,,"Examination of eyes and vision"
664,"Z01.1",,"Examination of ears and hearing","Z01.1",,,"Examination of ears and hearing"
665,"Z01.2",,"Dental examination","Z01.2",,,"Dental examination"
666,"Z01.3",,"Examination of blood pressure","Z01.3",,,"Examination of blood pressure"
667,"Z01.4",,"Gynaecological examination (general)(routine)","Z01.4",,,"Gynaecological examination (general)(routine)"
668,"Z01.5",,"Diagnostic skin and sensitisation tests","Z01.5",,,"Diagnostic skin and sensitisation tests"
669,"Z01.6",,"Radiological examination, not elsewhere classified","Z01.6",,,"Radiological examination, not elsewhere classified"
670,"Z01.7",,"Laboratory examination","Z01.7",,,"Laboratory examination"
671,"Z01.8",,"Other specified special examinations","Z01.8",,,"Other specified special examinations"
672,"Z01.9",,"Special examination, unspecified","Z01.9",,,"Special examination, unspecified"
673,"Z02.0",,"Examination for admission to educational institution","Z02.0",,,"Examination for admission to educational institution"
674,"Z02.1",,"Pre-employment examination","Z02.1",,,"Pre-employment examination"
675,"Z02.2",,"Examination for admission to residential institutions","Z02.2",,,"Examination for admission to residential institutions"
676,"Z02.3",,"Examination for recruitment to armed forces","Z02.3",,,"Examination for recruitment to armed forces"
677,"Z02.4",,"Examination for driving licence","Z02.4",,,"Examination for driving licence"
678,"Z02.5",,"Examination for participation in sport","Z02.5",,,"Examination for participation in sport"
679,"Z02.6",,"Examination for insurance purposes","Z02.6",,,"Examination for insurance purposes"
680,"Z02.7",,"Issue of medical certificate","Z02.7",,,"Issue of medical certificate"
681,"Z02.8",,"Other examinations for administrative purposes","Z02.8",,,"Other examinations for administrative purposes"
682,"Z02.9",,"Examination for administrative purposes, unspecified","Z02.9",,,"Examination for administrative purposes, unspecified"
683,"Z03.0",,"Observation for suspected tuberculosis","Z03.0",,,"Observation for suspected tuberculosis"
684,"Z03.1",,"Observation for suspected malignant neoplasm","Z03.1",,,"Observation for suspected malignant neoplasm"
685,"Z03.2",,"Observation for suspected mental and behavioural disorders","Z03.2",,,"Observation for suspected mental and behavioural disorders"
686,"Z03.3",,"Observation for suspected nervous system disorder","Z03.3",,,"Observation for suspected nervous system disorder"
687,"Z03.4",,"Observation for suspected myocardial infarction","Z03.4",,,"Observation for suspected myocardial infarction"
688,"Z03.5",,"Observation for other suspected cardiovascular diseases","Z03.5",,,"Observation for other suspected cardiovascular diseases"
689,"Z03.6",,"Observation for suspected toxic effect from ingested substance","Z03.6",,,"Observation for suspected toxic effect from ingested substance"
690,"Z03.8",,"Observation for other suspected diseases and conditions","Z03.8",,,"Observation for other suspected diseases and conditions"
691,"Z03.8",,"Observation for other suspected diseases and conditions","Z03.70",,,"Observation for unspecified suspected newborn condition"
692,"Z03.8",,"Observation for other suspected diseases and conditions","Z03.79",,,"Observation for other suspected newborn condition"
693,"Z03.8",,"Observation for other suspected diseases and conditions","Z03.71",,,"Observation for suspected newborn infectious condition"
694,"Z03.8",,"Observation for other suspected diseases and conditions","Z03.72",,,"Observation for suspected newborn neurological condition"
695,"Z03.8",,"Observation for other suspected diseases and conditions","Z03.73",,,"Observation for suspected newborn respiratory condition"
696,"Z03.9",,"Observation for suspected disease or condition, unspecified","Z03.9",,,"Observation for suspected disease or condition, unspecified"
697,"Z04.0",,"Blood-alcohol and blood-drug test","Z04.0",,,"Blood-alcohol and blood-drug test"
698,"Z04.1",,"Examination and observation following transport accident","Z04.1",,,"Examination and observation following transport accident"
699,"Z04.2",,"Examination and observation following work accident","Z04.2",,,"Examination and observation following work accident"
700,"Z04.3",,"Examination and observation following other accident","Z04.3",,,"Examination and observation following other accident"
701,"Z04.4",,"Examination and observation following alleged rape and seduction","Z04.4",,,"Examination and observation following alleged rape and seduction"
702,"Z04.5",,"Examination and observation following other inflicted injury","Z04.5",,,"Examination and observation following other inflicted injury"
703,"Z04.6",,"General psychiatric examination, requested by authority","Z04.6",,,"General psychiatric examination, requested by authority"
704,"Z04.8",,"Examination and observation for other specified reasons","Z04.8",,,"Examination and observation for other specified reasons"
705,"Z04.9",,"Examination and observation for unspecified reason","Z04.9",,,"Examination and observation for unspecified reason"
706,"Z08.0",,"Follow-up examination after surgery for malignant neoplasm","Z08.0",,,"Follow-up examination after surgery for malignant neoplasm"
707,"Z08.1",,"Follow-up examination after radiotherapy for malignant neoplasm","Z08.1",,,"Follow-up examination after radiotherapy for malignant neoplasm"
708,"Z08.2",,"Follow-up examination after chemotherapy for malignant neoplasm","Z08.2",,,"Follow-up examination after pharmacotherapy for malignant neoplasm"
709,"Z08.7",,"Follow-up examination after combined treatment for malignant neoplasm","Z08.7",,,"Follow-up examination after combined treatment for malignant neoplasm"
710,"Z08.8",,"Follow-up examination after other treatment for malignant neoplasm","Z08.8",,,"Follow-up examination after other treatment for malignant neoplasm"
711,"Z08.9",,"Follow-up examination after unspecified treatment for malignant neoplasm","Z08.9",,,"Follow-up examination after unspecified treatment for malignant neoplasm"
712,"Z09.0",,"Follow-up examination after surgery for other conditions","Z09.0",,,"Follow-up examination after surgery for other conditions"
713,"Z09.1",,"Follow-up examination after radiotherapy for other conditions","Z09.1",,,"Follow-up examination after radiotherapy for other conditions"
714,"Z09.2",,"Follow-up examination after chemotherapy for other conditions","Z09.2",,,"Follow-up examination after pharmacotherapy for other conditions"
715,"Z09.3",,"Follow-up examination after psychotherapy","Z09.3",,,"Follow-up examination after psychotherapy"
716,"Z09.4",,"Follow-up examination after treatment of fracture","Z09.4",,,"Follow-up examination after treatment of fracture"
717,"Z09.7",,"Follow-up examination after combined treatment for other conditions","Z09.7",,,"Follow-up examination after combined treatment for other conditions"
718,"Z09.8",,"Follow-up examination after other treatment for other conditions","Z09.8",,,"Follow-up examination after other treatment for other conditions"
719,"Z09.9",,"Follow-up examination after unspecified treatment for other conditions","Z09.9",,,"Follow-up examination after unspecified treatment for other conditions"
720,"Z10.0",,"Occupational health examination","Z10.0",,,"Occupational health examination"
721,"Z10.1",,"Routine general health check-up of inhabitants of institutions","Z10.1",,,"Routine general health check-up of inhabitants of institutions"
722,"Z10.2",,"Routine general health check-up of armed forces","Z10.2",,,"Routine general health check-up of armed forces"
723,"Z10.3",,"Routine general health check-up of sports teams","Z10.3",,,"Routine general health check-up of sports teams"
724,"Z10.8",,"Routine general health check-up of other defined subpopulations","Z10.8",,,"Routine general health check-up of other defined subpopulations"
725,"Z11.0",,"Special screening examination for intestinal infectious diseases","Z11.0",,,"Special screening examination for intestinal infectious diseases"
726,"Z11.1",,"Special screening examination for respiratory tuberculosis","Z11.1",,,"Special screening examination for respiratory tuberculosis"
727,"Z11.2",,"Special screening examination for other bacterial diseases","Z11.2",,,"Special screening examination for other bacterial diseases"
728,"Z11.3",,"Special screening examination for infections with a predominantly sexual mode of transmission","Z11.3",,,"Special screening examination for infections with a predominantly sexual mode of transmission"
729,"Z11.4",,"Special screening examination for human immunodeficiency virus [HIV]","Z11.4",,,"Special screening examination for human immunodeficiency virus [HIV]"
730,"Z11.5",,"Special screening examination for other viral diseases","Z11.5",,,"Special screening examination for other viral diseases"
731,"Z11.6",,"Special screening examination for other protozoal diseases and helminthiases","Z11.6",,,"Special screening examination for other protozoal diseases and helminthiases"
732,"Z11.8",,"Special screening examination for other infectious and parasitic diseases","Z11.8",,,"Special screening examination for other infectious and parasitic diseases"
733,"Z11.9",,"Special screening examination for infectious and parasitic diseases, unspecified","Z11.9",,,"Special screening examination for infectious and parasitic diseases, unspecified"
734,"Z12.0",,"Special screening examination for neoplasm of stomach","Z12.0",,,"Special screening examination for neoplasm of stomach"
735,"Z12.1",,"Special screening examination for neoplasm of intestinal tract","Z12.1",,,"Special screening examination for neoplasm of intestinal tract"
736,"Z12.2",,"Special screening examination for neoplasm of respiratory organs","Z12.2",,,"Special screening examination for neoplasm of respiratory organs"
737,"Z12.3",,"Special screening examination for neoplasm of breast","Z12.3",,,"Special screening examination for neoplasm of breast"
738,"Z12.4",,"Special screening examination for neoplasm of cervix","Z12.4",,,"Special screening examination for neoplasm of cervix"
739,"Z12.5",,"Special screening examination for neoplasm of prostate","Z12.5",,,"Special screening examination for neoplasm of prostate"
740,"Z12.6",,"Special screening examination for neoplasm of bladder","Z12.6",,,"Special screening examination for neoplasm of bladder"
741,"Z12.8",,"Special screening examination for neoplasms of other sites","Z12.8",,,"Special screening examination for neoplasms of other sites"
742,"Z12.9",,"Special screening examination for neoplasm, unspecified","Z12.9",,,"Special screening examination for neoplasm, unspecified"
743,"Z13.0",,"Special screening examination for diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Z13.0",,,"Special screening examination for diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
744,"Z13.1",,"Special screening examination for diabetes mellitus","Z13.1",,,"Special screening examination for diabetes mellitus"
745,"Z13.2",,"Special screening examination for nutritional disorders","Z13.2",,,"Special screening examination for nutritional disorders"
746,"Z13.3",,"Special screening examination for mental and behavioural disorders","Z13.3",,,"Special screening examination for mental and behavioural disorders"
747,"Z13.4",,"Special screening examination for certain developmental disorders in childhood","Z13.4",,,"Special screening examination for certain developmental disorders in childhood"
748,"Z13.5",,"Special screening examination for eye and ear disorders","Z13.5",,,"Special screening examination for eye and ear disorders"
749,"Z13.6",,"Special screening examination for cardiovascular disorders","Z13.6",,,"Special screening examination for cardiovascular disorders"
750,"Z13.7",,"Special screening examination for congenital malformations, deformations and chromosomal abnormalities","Z13.7",,,"Special screening examination for congenital malformations, deformations and chromosomal abnormalities"
751,"Z13.8",,"Special screening examination for other specifed diseases and disorders","Z13.88",,,"Special screening examination for other specified diseases and disorders"
752,"Z13.8",,"Special screening examination for other specifed diseases and disorders","Z13.81",,,"Special screening examination for nervous system disorder"
753,"Z13.8",,"Special screening examination for other specifed diseases and disorders","Z13.82",,,"Special screening examination for respiratory disorder"
754,"Z13.8",,"Special screening examination for other specifed diseases and disorders","Z13.83",,,"Special screening examination for digestive tract disorder"
755,"Z13.8",,"Special screening examination for other specifed diseases and disorders","Z13.84",,,"Special screening examination for musculoskeletal disorder"
756,"Z13.8",,"Special screening examination for other specifed diseases and disorders","Z13.85",,,"Special screening examination for genitourinary disorder"
757,"Z13.8",,"Special screening examination for other specifed diseases and disorders","Z13.86",,,"Special screening examination for endocrine and metabolic disorder"
758,"Z13.9",,"Special screening examination, unspecified","Z13.9",,,"Special screening examination, unspecified"
759,"Z20.0",,"Contact with and exposure to intestinal infectious diseases","Z20.0",,,"Contact with and exposure to intestinal infectious diseases"
760,"Z20.1",,"Contact with and exposure to tuberculosis","Z20.1",,,"Contact with and exposure to tuberculosis"
761,"Z20.2",,"Contact with and exposure to infections with a predominantly sexual mode of transmission","Z20.2",,,"Contact with and exposure to infections with a predominantly sexual mode of transmission"
762,"Z20.3",,"Contact with and exposure to rabies","Z20.3",,,"Contact with and exposure to rabies"
763,"Z20.4",,"Contact with and exposure to rubella","Z20.4",,,"Contact with and exposure to rubella"
764,"Z20.5",,"Contact with and exposure to viral hepatitis","Z20.5",,,"Contact with and exposure to viral hepatitis"
765,"Z20.6",,"Contact with and exposure to human immunodeficiency virus [HIV]","Z20.6",,,"Contact with and exposure to human immunodeficiency virus [HIV]"
766,"Z20.7",,"Contact with and exposure to pediculosis, acariasis and other infestations","Z20.7",,,"Contact with and exposure to pediculosis, acariasis and other infestations"
767,"Z20.8",,"Contact with and exposure to other communicable diseases","Z20.8",,,"Contact with and exposure to other communicable diseases"
768,"Z20.9",,"Contact with and exposure to unspecified communicable disease","Z20.9",,,"Contact with and exposure to unspecified communicable disease"
769,"Z21",,"Asymptomatic human immunodeficiency virus [HIV] infection status","Z21",,,"Asymptomatic human immunodeficiency virus [HIV] infection status"
770,"Z22.0",,"Carrier of typhoid","Z22.0",,,"Carrier of typhoid"
771,"Z22.1",,"Carrier of other intestinal infectious diseases","Z22.1",,,"Carrier of other intestinal infectious diseases"
772,"Z22.2",,"Carrier of diphtheria","Z22.2",,,"Carrier of diphtheria"
773,"Z22.3",,"Carrier of other specified bacterial diseases","Z22.3",,,"Carrier of other specified bacterial diseases"
774,"Z22.4",,"Carrier of infections with a predominantly sexual mode of transmission","Z22.4",,,"Carrier of infections with a predominantly sexual mode of transmission"
775,"Z22.6",,"Carrier of human T-lymphotropic virus type-1 [HTLV-1] infection","Z22.6",,,"Carrier of human T-lymphotropic virus type-1 [HTLV-1] infection"
776,"Z22.7","1","Latent tuberculosis","Z22.7","1",,"Latent tuberculosis"
777,"Z22.8",,"Carrier of other infectious diseases","Z22.8",,,"Carrier of other infectious diseases"
778,"Z22.9",,"Carrier of infectious disease, unspecified","Z22.9",,,"Carrier of infectious disease, unspecified"
779,"Z23.0",,"Need for immunisation against cholera alone","Z23.0",,,"Need for immunisation against cholera alone"
780,"Z23.1",,"Need for immunisation against typhoid-paratyphoid alone [TAB]","Z23.1",,,"Need for immunisation against typhoid-paratyphoid alone [TAB]"
781,"Z23.2",,"Need for immunisation against tuberculosis [BCG]","Z23.2",,,"Need for immunisation against tuberculosis [BCG]"
782,"Z23.3",,"Need for immunisation against plague","Z23.3",,,"Need for immunisation against plague"
783,"Z23.4",,"Need for immunisation against tularaemia","Z23.4",,,"Need for immunisation against tularaemia"
784,"Z23.5",,"Need for immunisation against tetanus alone","Z23.5",,,"Need for immunisation against tetanus alone"
785,"Z23.6",,"Need for immunisation against diphtheria alone","Z23.6",,,"Need for immunisation against diphtheria alone"
786,"Z23.7",,"Need for immunisation against pertussis alone","Z23.7",,,"Need for immunisation against pertussis alone"
787,"Z23.8",,"Need for immunisation against other single bacterial diseases","Z23.8",,,"Need for immunisation against other single bacterial diseases"
788,"Z24.0",,"Need for immunisation against poliomyelitis","Z24.0",,,"Need for immunisation against poliomyelitis"
789,"Z24.1",,"Need for immunisation against arthropod-borne viral encephalitis","Z24.1",,,"Need for immunisation against arthropod-borne viral encephalitis"
790,"Z24.2",,"Need for immunisation against rabies","Z24.2",,,"Need for immunisation against rabies"
791,"Z24.3",,"Need for immunisation against yellow fever","Z24.3",,,"Need for immunisation against yellow fever"
792,"Z24.4",,"Need for immunisation against measles alone","Z24.4",,,"Need for immunisation against measles alone"
793,"Z24.5",,"Need for immunisation against rubella alone","Z24.5",,,"Need for immunisation against rubella alone"
794,"Z24.6",,"Need for immunisation against viral hepatitis","Z24.6",,,"Need for immunisation against viral hepatitis"
795,"Z25.0",,"Need for immunisation against mumps alone","Z25.0",,,"Need for immunisation against mumps alone"
796,"Z25.1",,"Need for immunisation against influenza","Z25.1",,,"Need for immunisation against influenza"
797,"Z25.8",,"Need for immunisation against other specified single viral diseases","Z25.8",,,"Need for immunisation against other specified single viral diseases"
798,"Z26.0",,"Need for immunisation against leishmaniasis","Z26.0",,,"Need for immunisation against leishmaniasis"
799,"Z26.8",,"Need for immunisation against other specified single infectious diseases","Z26.8",,,"Need for immunisation against other specified single infectious diseases"
800,"Z26.9",,"Need for immunisation against unspecified infectious disease","Z26.9",,,"Need for immunisation against unspecified infectious disease"
801,"Z27.0",,"Need for immunisation against cholera with typhoid-paratyphoid [cholera + TAB]","Z27.0",,,"Need for immunisation against cholera with typhoid-paratyphoid [cholera + TAB]"
802,"Z27.1",,"Need for immunisation against diphtheria-tetanus-pertussis, combined [DTP]","Z27.1",,,"Need for immunisation against diphtheria-tetanus-pertussis, combined [DTP]"
803,"Z27.2",,"Need for immunisation against diphtheria-tetanus-pertussis with typhoid-paratyphoid [DTP + TAB]","Z27.2",,,"Need for immunisation against diphtheria-tetanus-pertussis with typhoid-paratyphoid [DTP + TAB]"
804,"Z27.3",,"Need for immunisation against diphtheria-tetanus-pertussis with poliomyelitis [DTP + polio]","Z27.3",,,"Need for immunisation against diphtheria-tetanus-pertussis with poliomyelitis [DTP + polio]"
805,"Z27.4",,"Need for immunisation against measles-mumps-rubella [MMR]","Z27.4",,,"Need for immunisation against measles-mumps-rubella [MMR]"
806,"Z27.8",,"Need for immunisation against other combinations of infectious diseases","Z27.8",,,"Need for immunisation against other combinations of infectious diseases"
807,"Z27.9",,"Need for immunisation against unspecified combinations of infectious diseases","Z27.9",,,"Need for immunisation against unspecified combinations of infectious diseases"
808,"Z28.0",,"Immunisation not carried out because of contraindication","Z28.0",,,"Immunisation not carried out because of contraindication"
809,"Z28.1",,"Immunisation not carried out because of patient's decision for reasons of belief and group pressure","Z28.1",,,"Immunisation not carried out because of patient's decision for reasons of belief and group pressure"
810,"Z28.2",,"Immunisation not carried out because of patient's decision for other and unspecified reasons","Z28.2",,,"Immunisation not carried out because of patient's decision for other and unspecified reasons"
